968 901
793 799 397539270
114 570 822153449
699 835 960436135
330 514 83613569
446 723 518812134
322 345 956182104
849 957 549352091
325 439 132549955
603 845 809705077
958 960 380149399
116 192 243719014
38 489 54885271
436 505 79438045
171 305 929734529
862 920 945709025
470 662 194192641
677 758 193198482
651 922 805480805
171 183 46795721
442 723 634205739
714 718 181756106
15 372 830696808
341 657 502243118
82 363 430631344
123 544 81289102
143 941 500251838
676 961 907656915
704 925 527599817
630 956 318285201
588 739 333009893
896 932 773579575
706 951 886967418
832 894 69181089
339 867 197053087
70 212 571476027
407 852 162766527
115 778 385581607
21 738 616434918
68 941 694986762
644 922 859092113
603 924 89318266
82 153 641310137
344 347 736625865
129 374 88806622
216 794 148982972
626 855 150412068
614 617 528052956
638 876 297609996
859 925 144148730
676 717 815098959
592 740 324664471
890 916 674517558
761 814 546326889
676 941 382652692
585 695 969445426
226 232 391320708
617 902 205564015
204 616 491985947
143 308 666331159
620 949 673968470
685 817 565213840
331 503 481350370
496 652 858995566
731 761 270044422
958 966 277356942
392 432 504963513
609 829 70239560
782 962 132302853
723 876 175865609
960 968 519789568
634 899 400814754
772 791 552592410
704 729 740651320
227 805 813589738
743 758 684028377
215 901 312185416
647 889 694663253
399 761 293016109
391 893 609207791
174 306 517286321
39 655 17149028
339 436 202964858
96 301 566798128
740 790 96009329
54 951 286899168
817 821 506502414
660 857 934484988
339 813 603724800
184 597 772126129
38 106 982472127
389 585 856946954
36 550 447710812
40 953 110510347
842 886 87703266
589 698 166829026
440 443 697499437
736 828 556815578
743 748 52113136
542 948 334802296
152 171 905156523
382 441 947705244
473 645 4210032
474 558 922174782
457 866 43145419
452 750 14399975
873 910 151941127
882 922 985417267
506 587 639503182
946 962 772589631
280 740 87739763
664 805 631078958
100 203 101018321
205 586 842321584
577 806 875278247
709 766 960624512
945 961 781637365
832 904 447483175
699 857 643827677
105 877 303609460
180 557 49578997
189 308 912750490
382 659 61495860
374 533 47416497
33 881 168250131
652 838 90429786
233 244 441584636
267 523 945613943
833 901 247791917
560 677 875463210
534 894 777328199
795 871 876554566
88 918 209706836
833 888 177294226
367 653 121716051
772 925 595670239
675 739 539732955
216 724 979075164
691 889 269717202
721 947 88059949
474 810 103236907
456 809 229377303
501 769 699544289
587 853 631297826
653 902 507057545
81 574 271559626
182 365 357332264
312 693 78160388
429 689 756447204
422 433 42713839
898 927 269440688
511 780 91502177
246 384 256493710
442 897 252025513
794 952 101232870
97 909 678274382
548 930 726995515
156 548 340208909
26 459 292330232
831 880 167322425
237 914 768320056
530 944 69013727
931 939 993409969
965 966 322217257
471 884 870491534
120 416 938792353
450 867 548509452
225 532 134209749
622 943 285111230
870 877 842469363
205 606 194047261
236 380 494085901
351 881 925615843
542 766 817598297
625 789 260001909
927 937 950753185
536 782 101577379
250 868 250019427
735 778 687797051
959 968 79083637
605 701 771168637
331 764 816701266
318 795 216711557
700 814 382571551
72 287 303670334
708 873 652793838
51 313 922044492
756 943 707487485
278 742 603295019
891 953 269890072
576 846 850945188
392 914 355595918
770 841 347626018
657 817 949915082
2 118 579228087
180 397 596784249
86 637 405707997
119 655 930391899
125 214 531362314
706 906 607033886
24 105 220943562
949 951 707634010
808 816 249510007
915 957 477949544
64 171 411386368
764 955 82303149
691 881 426536073
176 837 159378862
874 881 766026134
820 935 324089322
947 955 466871268
907 958 560166949
570 934 688299055
33 665 442553696
502 781 480419882
295 483 118947142
651 848 183518882
738 771 515719568
465 704 624180961
944 965 326181985
668 951 560136521
940 965 141068091
895 934 934484463
419 724 83503584
210 824 620318025
962 966 869922732
804 929 178988636
861 874 61860202
688 842 33255849
3 820 578323167
500 800 472666021
877 914 660301959
262 502 496981144
450 630 137180407
676 880 905996620
662 917 552605198
823 894 909969253
940 953 207589646
813 917 352533216
543 564 613992090
466 516 447698271
530 606 918715995
159 476 641382438
864 929 397525133
742 822 576226824
710 871 916647978
478 600 934648381
728 819 175314372
565 632 672275881
249 264 335227603
358 643 77510897
44 271 102218158
621 883 66857899
428 671 913329588
725 873 185809073
437 631 208466387
958 962 949233286
188 467 152982331
825 867 893301010
190 210 24748045
590 602 97843657
731 828 985170804
96 375 783824008
318 461 150685892
762 904 698710740
291 840 412725298
907 948 253565921
569 794 760364769
109 469 77613555
170 732 271057648
671 750 860833950
611 866 47464939
532 880 272314377
529 706 713708921
445 901 82118146
391 787 175021380
729 901 372867812
1 681 158620668
908 953 517293547
638 876 463548180
843 851 696866750
567 677 366865851
663 746 907748504
207 235 674102242
401 494 92908376
860 965 255420813
107 825 842841520
621 853 759292905
409 940 73364819
354 861 506417264
504 679 806308633
623 954 870871304
362 927 555275207
362 906 547358899
457 558 773402138
572 622 853023687
384 754 669924829
860 958 176657090
405 411 660699498
744 922 754229692
171 956 735436750
545 968 595945075
199 500 804783589
786 852 68716860
256 486 453511982
454 955 1885827
446 485 151847141
